user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,
Voice Of CBSE Students,,,2020-07-14 17:50:30,8,10,7,False,2020-07-25 12:26:53,"49K+ Covid19 cases still no response from 
@cbseindia29 @HRDMinistry @DrRPNishank.Please cancel the compartment exa… https://t.co/kV2ZKmumu1",,Twitter Web App,False,
Creativegms,"Dhaka,Bangladesh","I'm Motalib Mia, Logo -Logo Designer - Branding - Brand Identity Designer. I like to use my creativity, Client Satisfaction is my focus.

motalibmas@gmail.com",2020-01-12 09:03:01,241,1694,8443,False,2020-07-25 12:26:50,"Order here: https://t.co/4NUrGX6EmA

#logo #graphicdesigner #logodesign #logodesinger #icon  #minimalist #Abstract… https://t.co/0yPMoGqi9s","['logo', 'graphicdesigner', 'logodesign', 'logodesinger', 'icon', 'minimalist', 'Abstract']",Twitter Web App,False,
SEXXYLYPPS,Hotel living - various cities!  Who needs a home when hotel living is so fabulous!,"My ink ""My Way...No Regrets""
Always Make Happiness Your #1 Priority",2010-03-25 21:16:20,0,8,32,False,2020-07-25 12:26:47,👋🏻@PattyHajdu @NavdeepSBains — no one will be safe from #COVID19 until everyone is safe. Will you commit to ensure… https://t.co/aWCJo6eKvC,['COVID19'],Twitter Web App,False,
Africa Youth Advisory Board on DRR,Africa,Official account of the Africa Youth Advisory Board on Disaster Risk Reduction (DRR) of @_AfricanUnion . Facilitating meaningful engagement of African Youth.,2019-05-13 06:27:47,830,254,3692,False,2020-07-25 12:26:47,"Let's all protect ourselves from #COVID19.
It's real and the numbers are climbing up fast in the Continent.
Let's n… https://t.co/byMSfxltrw",['COVID19'],Twitter Web App,False,
DailyaddaaNews,New Delhi,Breaking news alerts from India.,2016-10-22 09:18:42,546,29,88,False,2020-07-25 12:26:46,Rajasthan Government today started a Plasma Bank at Sawai Man Singh Hospital in Jaipur for treatment of COVID-19 pa… https://t.co/cwfCcWyaDA,,Twitter Web App,False,
Dimapur 24/7.,"Nagaland, India","strive to promote Truth with Integrity.
https://t.co/pOqdhk6Mhg",2019-11-11 12:02:27,274,32,378,False,2020-07-25 12:26:45,"Nagaland police on Covid-19 Awareness at City Tower Junction Dimapur.

#Covid19 #keepsocialdistance… https://t.co/WOvFMqhuEO","['Covid19', 'keepsocialdistance']",Twitter for Android,False,
ChennaiCityNow,,Individual tweeting about significant happenings in Chennai.,2009-04-26 09:38:11,3987,53,749,False,2020-07-25 12:26:44,"July 25 #COVID19 update
#TamilNadu - 6988
Discharge- 7758
People tested - 61729
Actice cases - 52273
#chennai - 1329","['COVID19', 'TamilNadu', 'chennai']",Twitter for iPhone,False,
marc goovaerts🇪🇺🏳️‍🌈,Brussels,"Progressive mind. Flemish. Into movies, politics, travelling, swimming, gym, massage and Indonesia",2009-06-13 13:48:16,283,1432,1546,False,2020-07-25 12:26:44,Second wave of #COVID19 in Flanders..back to more #homework again... https://t.co/9swImZACMN,"['COVID19', 'homework']",Twitter for Android,False,
Dorian Aur,,,2011-01-30 18:40:16,46,108,453,False,2020-07-25 12:26:43,"It is during our darkest moments that we must focus to see the #light.~Aristotle 
https://t.co/YLlS4Kj85c… https://t.co/tFJB7l1Kaw",['light'],Twitter Web App,False,
Coronavirus Law,"Florida, USA",COVID-19 Practice of Lechner Law,2019-12-03 19:00:11,14,24,74,False,2020-07-25 12:26:39,COVID Update: The infection rate in Florida is following the natural curve that experts predicted if the initial cu… https://t.co/hmEwE747WK,,Twitter for iPad,False,
The Voice of GenX,,,2011-05-28 15:28:21,292,1037,58,False,2020-07-25 12:26:37,"@EvanAKilgore @realDonaldTrump Good Patriots!
Call to Volunteer to be an Election Judge. 
Polls cannot open without… https://t.co/qA3mA4zedZ",,Twitter for iPhone,False,
APO Group English,#AFRICA #MENA,"Latest #Africa & #MENA related #News releases issued by companies, govs, intl orgs, NGOs & #UN #PR FR:@APO_source_fr PT:@APO_source_pt AR:@APO_source_ar",2011-02-22 09:09:45,10661,6,2037,True,2020-07-25 12:26:31,Coronavirus - South Africa: COVID-19 update for South Africa (24 July 2020) @nicd_sa @MoetiTshidi @WHOAFRO… https://t.co/WQzAdkpXC5,,Africa Newsroom,False,
Micah Pollak,Northwest Indiana,Associate Professor of Economics (PhD in Economics) and Director of the Center for Economic Education & Research (CEER) at Indiana University Northwest.,2011-07-22 13:41:42,751,183,1308,False,2020-07-25 12:26:31,"@JimBnntt Your image doesn't list a source, but I'd be careful with overall ""risk of dying"" statistics related to… https://t.co/GRjVq8vYMy",,Twitter Web App,False,
CAWST,100+ countries,"Providing training, education and technical consulting services in water and sanitation",2009-08-06 02:43:36,3038,2713,7445,False,2020-07-25 12:26:30,"The first comprehensive review of #WASH &amp; #COVID19.

Analysis: key ways in which WASH can help reduce transmission… https://t.co/eCsfDmo9b4","['WASH', 'COVID19']",Twitter for iPhone,False,
Florian Bieber,Graz,"Niko i ništa, professor, so-called Balkan expert, coordinator @biepag director @cseesgraz, Jean Monnet Chair, tweets English, manchmal Deutsch & ponekad naški.",2009-06-18 09:46:10,18145,1389,13578,False,2020-07-25 12:26:28,Holy water in times of #COVID19 https://t.co/YaZ49yxL27,['COVID19'],Twitter for Android,False,
Blood Donors India,"Mumbai, India","Focused on matching blood donors with those in need. No followers here, only contributors. Spread the word, help save lives. We save 8/day.",2008-12-23 07:55:39,1215920,2047,19359,True,2020-07-25 12:26:26,"#Kolar
Need #Blood Type :  B-positive
At : Jalappa Hospital
Blood Component : Need Plasma from B+ve #COVID19 recove… https://t.co/XtgxULc02Z","['Kolar', 'Blood', 'COVID19']",Blood Donors India,False,
Tetra Tech International Development,Working in 175+ countries,A leader in #GlobalDev. We work to improve livelihoods worldwide thru locally driven #sustainable #solutions. Posts by @TetraTech’s Int’l Dev team,2010-08-06 19:09:22,20699,458,2680,False,2020-07-25 12:26:26,"Our Munitions Response Team in #BosniaandHerzegovina modified ops and adopted masks, disinfectants, and sanitizers… https://t.co/lMbKXlw1wQ",['BosniaandHerzegovina'],Twitter Web App,False,
beatnikgeek the soothsayer,"Manhattan, NY","These days, I expose colonizers & exploits @ the subatomic level e.g., Unlimited profits is the only acceptable profit margin.",2008-02-23 19:02:29,86,259,9412,False,2020-07-25 12:26:26,I can imagine the same people profiting off the human suffering of #COVID19 will be studying these maps to make 207… https://t.co/NElsmGju2H,['COVID19'],Twitter for Android,False,
Mugilan Chandrakumar,no e-pass to cross borders...,"Journalist/Stay Grounded/ RT's are not Endorsements/ Views are Personal/Coimbatore❤/Chennai.


*Then they came for me-and there was no one left to speak for me*",2011-06-12 18:18:43,8205,1083,32076,False,2020-07-25 12:26:24,"#TNCoronaUpdate

#TN crosses 2 lakh mark and 1,50,055 ppp has recovered so far.

#COVID19 positive today 6988/total… https://t.co/QdJkpcc7qv","['TNCoronaUpdate', 'TN', 'COVID19']",Twitter for Android,False,
